160;304
160;272
160;240
160;208
160;176
192;176
224;176
256;176
320;176
288;176
352;176
416;176
384;176
448;176
480;176
512;176
544;176
576;176
608;176
384;400
416;400
480;400
448;400
512;400
544;400
576;400
608;400
640;400
672;400
704;400
640;176
672;176
704;176
736;176
768;176
800;176
832;176
576;208
608;208
640;208
672;208
704;208
736;208
608;240
640;240
672;240
704;240
864;176
896;176
928;176
960;176
992;176
1024;176
1056;176
1056;208
1056;240
1056;272
1056;304
1056;336
1056;368
1056;400
1056;432
736;400
768;400
800;400
160;336
160;368
160;400
160;432
832;400
864;400
896;400
640;432
672;432
704;432
704;464
736;432
672;464
